P&ID_number,Type,Symbol_XX,Symbol_YY,Q_id,Question,GT,Cypher
0,Spatial-Count,14,1,4,How many symbols categorized as class 14 are directly linked to symbols categorized as class 1?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 1 AND s1.class = 14 
RETURN COUNT(s1)"
0,Spatial-Count,20,13,14,How many symbols fall under class 20 and are directly connected to symbols under class 13?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 13 AND s1.class = 20 
RETURN COUNT(s1)"
0,Spatial-Count,27,25,16,What is the count of 27 symbols directly linked to 25?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 25 AND s1.class = 27 
RETURN COUNT(s1)"
0,Spatial-Count,7,28,16,What is the count of 7 symbols directly linked to 28?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 28 AND s1.class = 7 
RETURN COUNT(s1)"
0,Spatial-Count,30,16,7,How many symbols from class 30 are directly connected to symbols from class 16?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 16 AND s1.class = 30 
RETURN COUNT(s1)"
0,Spatial-Count,20,22,3,What is the count of symbols with class 20 that have direct connections to symbols with class 22?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 22 AND s1.class = 20 
RETURN COUNT(s1)"
0,Spatial-Count,31,26,14,How many symbols fall under class 31 and are directly connected to symbols under class 26?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 26 AND s1.class = 31 
RETURN COUNT(s1)"
0,Spatial-Count,5,15,19,Can you tell me how many symbols of class 5 have direct connections to symbols of class 15?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 15 AND s1.class = 5 
RETURN COUNT(s1)"
0,Spatial-Count,12,8,15,Count the symbols categorized as class 12 that have direct connections to symbols categorized as class 8,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 8 AND s1.class = 12 
RETURN COUNT(s1)"
0,Spatial-Count,7,26,13,What is the number of  7 and 26 symbols' direct connections?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 26 AND s1.class = 7 
RETURN COUNT(s1)"
0,Spatial-Count,5,8,5,Count the symbols of class 5 that are directly connected to symbols of class 8,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 8 AND s1.class = 5 
RETURN COUNT(s1)"
0,Spatial-Count,24,18,16,What is the count of 24 symbols directly linked to 18?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 18 AND s1.class = 24 
RETURN COUNT(s1)"
0,Spatial-Count,3,6,20,What is the total count of symbols with class 3 that are directly connected to symbols with class 6?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 6 AND s1.class = 3 
RETURN COUNT(s1)"
0,Spatial-Count,3,26,7,How many symbols from class 3 are directly connected to symbols from class 26?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 26 AND s1.class = 3 
RETURN COUNT(s1)"
0,Spatial-Count,21,12,15,Count the symbols categorized as class 21 that have direct connections to symbols categorized as class 12,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 12 AND s1.class = 21 
RETURN COUNT(s1)"
0,Spatial-Count,4,10,3,What is the count of symbols with class 4 that have direct connections to symbols with class 10?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 10 AND s1.class = 4 
RETURN COUNT(s1)"
1,Spatial-Count,23,10,18,"Count the symbols that are directly linked to symbols of class 10, with 23",1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 10 AND s1.class = 23 
RETURN COUNT(s1)"
1,Spatial-Count,10,23,18,"Count the symbols that are directly linked to symbols of class 23, with 10",1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 23 AND s1.class = 10 
RETURN COUNT(s1)"
1,Spatial-Count,24,13,16,What is the count of 24 symbols directly linked to 13?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 13 AND s1.class = 24 
RETURN COUNT(s1)"
1,Spatial-Count,27,31,7,How many symbols from class 27 are directly connected to symbols from class 31?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 31 AND s1.class = 27 
RETURN COUNT(s1)"
1,Spatial-Count,25,26,11,How many symbols of 25 have direct connections to symbols of 26?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 26 AND s1.class = 25 
RETURN COUNT(s1)"
1,Spatial-Count,10,19,2,Can you count the symbols belonging to class 10 that are directly connected to symbols of class 19?,2,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 19 AND s1.class = 10 
RETURN COUNT(s1)"
1,Spatial-Count,21,28,17,"How many symbols are directly connected to symbols of class 28, given that they belong to class 21?",1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 28 AND s1.class = 21 
RETURN COUNT(s1)"
1,Spatial-Count,9,10,6,What is the number of symbols with class 9 that have direct connections to symbols with class 10?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 10 AND s1.class = 9 
RETURN COUNT(s1)"
1,Spatial-Count,7,28,9,Can you tell me how many symbols of class 7 are directly connected to symbols of class 28?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 28 AND s1.class = 7 
RETURN COUNT(s1)"
1,Spatial-Count,13,29,18,"Count the symbols that are directly linked to symbols of class 29, with 13",1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 29 AND s1.class = 13 
RETURN COUNT(s1)"
1,Spatial-Count,24,13,17,"How many symbols are directly connected to symbols of class 13, given that they belong to class 24?",1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 13 AND s1.class = 24 
RETURN COUNT(s1)"
1,Spatial-Count,26,19,6,What is the number of symbols with class 26 that have direct connections to symbols with class 19?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 19 AND s1.class = 26 
RETURN COUNT(s1)"
1,Spatial-Count,19,10,6,What is the number of symbols with class 19 that have direct connections to symbols with class 10?,2,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 10 AND s1.class = 19 
RETURN COUNT(s1)"
1,Spatial-Count,26,25,19,Can you tell me how many symbols of class 26 have direct connections to symbols of class 25?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 25 AND s1.class = 26 
RETURN COUNT(s1)"
1,Spatial-Count,10,9,2,Can you count the symbols belonging to class 10 that are directly connected to symbols of class 9?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 9 AND s1.class = 10 
RETURN COUNT(s1)"
1,Spatial-Count,4,5,5,Count the symbols of class 4 that are directly connected to symbols of class 5,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 5 AND s1.class = 4 
RETURN COUNT(s1)"
1,Spatial-Count,24,25,19,Can you tell me how many symbols of class 24 have direct connections to symbols of class 25?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 25 AND s1.class = 24 
RETURN COUNT(s1)"
1,Spatial-Count,6,24,12,Count the number of 6 symbols that are directly connected to 24 symbols,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 24 AND s1.class = 6 
RETURN COUNT(s1)"
1,Spatial-Count,29,1,1,How many symbols with class 29 are linked directly to symbols with class 1?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 1 AND s1.class = 29 
RETURN COUNT(s1)"
1,Spatial-Count,1,22,19,Can you tell me how many symbols of class 1 have direct connections to symbols of class 22?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 22 AND s1.class = 1 
RETURN COUNT(s1)"
1,Spatial-Count,2,14,5,Count the symbols of class 2 that are directly connected to symbols of class 14,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 14 AND s1.class = 2 
RETURN COUNT(s1)"
1,Spatial-Count,5,14,8,Count the symbols with class 5 that are directly linked to symbols with class 14,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 14 AND s1.class = 5 
RETURN COUNT(s1)"
1,Spatial-Count,19,2,14,How many symbols fall under class 19 and are directly connected to symbols under class 2?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 2 AND s1.class = 19 
RETURN COUNT(s1)"
1,Spatial-Count,4,8,9,Can you tell me how many symbols of class 4 are directly connected to symbols of class 8?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 8 AND s1.class = 4 
RETURN COUNT(s1)"
1,Spatial-Count,26,4,13,What is the number of  26 and 4 symbols' direct connections?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 4 AND s1.class = 26 
RETURN COUNT(s1)"
1,Spatial-Count,20,8,16,What is the count of 20 symbols directly linked to 8?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 8 AND s1.class = 20 
RETURN COUNT(s1)"
1,Spatial-Count,1,19,1,How many symbols with class 1 are linked directly to symbols with class 19?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 19 AND s1.class = 1 
RETURN COUNT(s1)"
1,Spatial-Count,8,24,18,"Count the symbols that are directly linked to symbols of class 24, with 8",0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 24 AND s1.class = 8 
RETURN COUNT(s1)"
1,Spatial-Count,26,1,15,Count the symbols categorized as class 26 that have direct connections to symbols categorized as class 1,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 1 AND s1.class = 26 
RETURN COUNT(s1)"
1,Spatial-Count,3,24,10,What is the total count of symbols classified as 3 are directly connected to symbols of 24?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 24 AND s1.class = 3 
RETURN COUNT(s1)"
1,Spatial-Count,14,19,11,How many symbols of 14 have direct connections to symbols of 19?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 19 AND s1.class = 14 
RETURN COUNT(s1)"
1,Spatial-Count,18,29,3,What is the count of symbols with class 18 that have direct connections to symbols with class 29?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 29 AND s1.class = 18 
RETURN COUNT(s1)"
2,Spatial-Count,1,16,11,How many symbols of 1 have direct connections to symbols of 16?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 16 AND s1.class = 1 
RETURN COUNT(s1)"
2,Spatial-Count,2,14,1,How many symbols with class 2 are linked directly to symbols with class 14?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 14 AND s1.class = 2 
RETURN COUNT(s1)"
2,Spatial-Count,10,10,14,How many symbols fall under class 10 and are directly connected to symbols under class 10?,6,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 10 AND s1.class = 10 
RETURN COUNT(s1)"
2,Spatial-Count,20,31,4,How many symbols categorized as class 20 are directly linked to symbols categorized as class 31?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 31 AND s1.class = 20 
RETURN COUNT(s1)"
2,Spatial-Count,1,21,3,What is the count of symbols with class 1 that have direct connections to symbols with class 21?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 21 AND s1.class = 1 
RETURN COUNT(s1)"
2,Spatial-Count,6,10,12,Count the number of 6 symbols that are directly connected to 10 symbols,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 10 AND s1.class = 6 
RETURN COUNT(s1)"
2,Spatial-Count,21,30,17,"How many symbols are directly connected to symbols of class 30, given that they belong to class 21?",1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 30 AND s1.class = 21 
RETURN COUNT(s1)"
2,Spatial-Count,23,10,10,What is the total count of symbols classified as 23 are directly connected to symbols of 10?,2,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 10 AND s1.class = 23 
RETURN COUNT(s1)"
2,Spatial-Count,29,9,2,Can you count the symbols belonging to class 29 that are directly connected to symbols of class 9?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 9 AND s1.class = 29 
RETURN COUNT(s1)"
2,Spatial-Count,10,15,19,Can you tell me how many symbols of class 10 have direct connections to symbols of class 15?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 15 AND s1.class = 10 
RETURN COUNT(s1)"
2,Spatial-Count,10,23,19,Can you tell me how many symbols of class 10 have direct connections to symbols of class 23?,2,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 23 AND s1.class = 10 
RETURN COUNT(s1)"
2,Spatial-Count,21,30,2,Can you count the symbols belonging to class 21 that are directly connected to symbols of class 30?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 30 AND s1.class = 21 
RETURN COUNT(s1)"
2,Spatial-Count,21,18,15,Count the symbols categorized as class 21 that have direct connections to symbols categorized as class 18,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 18 AND s1.class = 21 
RETURN COUNT(s1)"
2,Spatial-Count,10,10,4,How many symbols categorized as class 10 are directly linked to symbols categorized as class 10?,6,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 10 AND s1.class = 10 
RETURN COUNT(s1)"
2,Spatial-Count,15,12,19,Can you tell me how many symbols of class 15 have direct connections to symbols of class 12?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 12 AND s1.class = 15 
RETURN COUNT(s1)"
2,Spatial-Count,12,15,14,How many symbols fall under class 12 and are directly connected to symbols under class 15?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 15 AND s1.class = 12 
RETURN COUNT(s1)"
2,Spatial-Count,6,15,1,How many symbols with class 6 are linked directly to symbols with class 15?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 15 AND s1.class = 6 
RETURN COUNT(s1)"
2,Spatial-Count,24,20,19,Can you tell me how many symbols of class 24 have direct connections to symbols of class 20?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 20 AND s1.class = 24 
RETURN COUNT(s1)"
2,Spatial-Count,3,21,16,What is the count of 3 symbols directly linked to 21?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 21 AND s1.class = 3 
RETURN COUNT(s1)"
2,Spatial-Count,30,26,7,How many symbols from class 30 are directly connected to symbols from class 26?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 26 AND s1.class = 30 
RETURN COUNT(s1)"
2,Spatial-Count,18,18,18,"Count the symbols that are directly linked to symbols of class 18, with 18",0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 18 AND s1.class = 18 
RETURN COUNT(s1)"
2,Spatial-Count,32,26,1,How many symbols with class 32 are linked directly to symbols with class 26?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 26 AND s1.class = 32 
RETURN COUNT(s1)"
2,Spatial-Count,20,14,20,What is the total count of symbols with class 20 that are directly connected to symbols with class 14?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 14 AND s1.class = 20 
RETURN COUNT(s1)"
2,Spatial-Count,16,28,19,Can you tell me how many symbols of class 16 have direct connections to symbols of class 28?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 28 AND s1.class = 16 
RETURN COUNT(s1)"
2,Spatial-Count,2,20,3,What is the count of symbols with class 2 that have direct connections to symbols with class 20?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 20 AND s1.class = 2 
RETURN COUNT(s1)"
2,Spatial-Count,17,27,3,What is the count of symbols with class 17 that have direct connections to symbols with class 27?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 27 AND s1.class = 17 
RETURN COUNT(s1)"
2,Spatial-Count,30,31,18,"Count the symbols that are directly linked to symbols of class 31, with 30",0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 31 AND s1.class = 30 
RETURN COUNT(s1)"
2,Spatial-Count,25,11,4,How many symbols categorized as class 25 are directly linked to symbols categorized as class 11?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 11 AND s1.class = 25 
RETURN COUNT(s1)"
2,Spatial-Count,5,32,5,Count the symbols of class 5 that are directly connected to symbols of class 32,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 32 AND s1.class = 5 
RETURN COUNT(s1)"
2,Spatial-Count,14,3,2,Can you count the symbols belonging to class 14 that are directly connected to symbols of class 3?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 3 AND s1.class = 14 
RETURN COUNT(s1)"
2,Spatial-Count,15,20,10,What is the total count of symbols classified as 15 are directly connected to symbols of 20?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 20 AND s1.class = 15 
RETURN COUNT(s1)"
2,Spatial-Count,24,7,15,Count the symbols categorized as class 24 that have direct connections to symbols categorized as class 7,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 7 AND s1.class = 24 
RETURN COUNT(s1)"
3,Spatial-Count,31,17,15,Count the symbols categorized as class 31 that have direct connections to symbols categorized as class 17,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 17 AND s1.class = 31 
RETURN COUNT(s1)"
3,Spatial-Count,29,27,2,Can you count the symbols belonging to class 29 that are directly connected to symbols of class 27?,2,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 27 AND s1.class = 29 
RETURN COUNT(s1)"
3,Spatial-Count,2,18,3,What is the count of symbols with class 2 that have direct connections to symbols with class 18?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 18 AND s1.class = 2 
RETURN COUNT(s1)"
3,Spatial-Count,6,4,8,Count the symbols with class 6 that are directly linked to symbols with class 4,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 4 AND s1.class = 6 
RETURN COUNT(s1)"
3,Spatial-Count,27,18,20,What is the total count of symbols with class 27 that are directly connected to symbols with class 18?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 18 AND s1.class = 27 
RETURN COUNT(s1)"
3,Spatial-Count,21,29,18,"Count the symbols that are directly linked to symbols of class 29, with 21",1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 29 AND s1.class = 21 
RETURN COUNT(s1)"
3,Spatial-Count,12,1,4,How many symbols categorized as class 12 are directly linked to symbols categorized as class 1?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 1 AND s1.class = 12 
RETURN COUNT(s1)"
3,Spatial-Count,21,29,15,Count the symbols categorized as class 21 that have direct connections to symbols categorized as class 29,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 29 AND s1.class = 21 
RETURN COUNT(s1)"
3,Spatial-Count,27,29,4,How many symbols categorized as class 27 are directly linked to symbols categorized as class 29?,2,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 29 AND s1.class = 27 
RETURN COUNT(s1)"
3,Spatial-Count,17,31,2,Can you count the symbols belonging to class 17 that are directly connected to symbols of class 31?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 31 AND s1.class = 17 
RETURN COUNT(s1)"
3,Spatial-Count,8,32,8,Count the symbols with class 8 that are directly linked to symbols with class 32,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 32 AND s1.class = 8 
RETURN COUNT(s1)"
3,Spatial-Count,32,8,12,Count the number of 32 symbols that are directly connected to 8 symbols,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 8 AND s1.class = 32 
RETURN COUNT(s1)"
3,Spatial-Count,29,2,5,Count the symbols of class 29 that are directly connected to symbols of class 2,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 2 AND s1.class = 29 
RETURN COUNT(s1)"
3,Spatial-Count,4,27,10,What is the total count of symbols classified as 4 are directly connected to symbols of 27?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 27 AND s1.class = 4 
RETURN COUNT(s1)"
3,Spatial-Count,12,3,1,How many symbols with class 12 are linked directly to symbols with class 3?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 3 AND s1.class = 12 
RETURN COUNT(s1)"
3,Spatial-Count,32,8,18,"Count the symbols that are directly linked to symbols of class 8, with 32",1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 8 AND s1.class = 32 
RETURN COUNT(s1)"
3,Spatial-Count,20,17,18,"Count the symbols that are directly linked to symbols of class 17, with 20",0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 17 AND s1.class = 20 
RETURN COUNT(s1)"
3,Spatial-Count,29,10,2,Can you count the symbols belonging to class 29 that are directly connected to symbols of class 10?,0,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 10 AND s1.class = 29 
RETURN COUNT(s1)"
