P&ID_number,Type,Symbol_Class,Prefix,Q_id,Question,GT,Cypher
0,Value-Based,26,GI,4,List all tag for symbols classified as 26 that have GI in the start,,"MATCH (s:Symbol) 
WHERE s.class = 26 AND s.tag STARTS WITH GI 
RETURN s.tag"
0,Value-Based,23,INS,17,Return all tags for symbols of class 23 with tags beginning with INS,"['INS ( 45°C )', 'INS ( 20°C )', 'INS ( 54°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
0,Value-Based,31,ZLC,14,Can you extract all tags from class 31 symbols having ZLC in the start?,['ZLC 764'],"MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLC 
RETURN s.tag"
0,Value-Based,27,RO,11,Provide the list of 27 symbols' tags having RO in the beginning,['RO-10 653'],"MATCH (s:Symbol) 
WHERE s.class = 27 AND s.tag STARTS WITH RO 
RETURN s.tag"
0,Value-Based,7,MN,3,Enlist all class 7 symbols tags that start with MN?,"['MN-30863', 'MN-41722', 'MN-46223', 'MN-85194', 'MN-55988']","MATCH (s:Symbol) 
WHERE s.class = 7 AND s.tag STARTS WITH MN 
RETURN s.tag"
0,Value-Based,6,KL,18,Can you list all the tags of class 6 symbols where tags start with KL?,"['KL-04357', 'KL-53281', 'KL-70233']","MATCH (s:Symbol) 
WHERE s.class = 6 AND s.tag STARTS WITH KL 
RETURN s.tag"
0,Value-Based,30,STA,14,Can you extract all tags from class 30 symbols having STA in the start?,"['STA', 'STA']","MATCH (s:Symbol) 
WHERE s.class = 30 AND s.tag STARTS WITH STA 
RETURN s.tag"
0,Value-Based,3,EF,13,Find all tags of 3 symbols that begin with EF,,"MATCH (s:Symbol) 
WHERE s.class = 3 AND s.tag STARTS WITH EF 
RETURN s.tag"
0,Value-Based,25,ERV,9,"Given the start of tag ERV, find all the tags of class 25  that satisifies the condition","['ERV-8-20', 'ERV-1-38', 'ERV-6-34', 'ERV-2-05']","MATCH (s:Symbol) 
WHERE s.class = 25 AND s.tag STARTS WITH ERV 
RETURN s.tag"
0,Value-Based,28,SDL,17,Return all tags for symbols of class 28 with tags beginning with SDL,"['SDL 101', 'SDL 932', 'SDL 306']","MATCH (s:Symbol) 
WHERE s.class = 28 AND s.tag STARTS WITH SDL 
RETURN s.tag"
0,Value-Based,15,DV,5,Enumerate tags for 15 symbols that starts with DV as prefix?,['DV-42490'],"MATCH (s:Symbol) 
WHERE s.class = 15 AND s.tag STARTS WITH DV 
RETURN s.tag"
0,Value-Based,28,SDL,15,List the tags for 28 symbols whose tags start from SDL,"['SDL 101', 'SDL 932', 'SDL 306']","MATCH (s:Symbol) 
WHERE s.class = 28 AND s.tag STARTS WITH SDL 
RETURN s.tag"
0,Value-Based,4,GH,7,Fetch all class 4 symbols tags that is prefix with GH,"['GH-33812', 'GH-44138', 'GH-29744']","MATCH (s:Symbol) 
WHERE s.class = 4 AND s.tag STARTS WITH GH 
RETURN s.tag"
0,Value-Based,9,QR,19,Give me a list of tags belonging to class 9 symbols that start with QR,"['QR-03776', 'QR-29804']","MATCH (s:Symbol) 
WHERE s.class = 9 AND s.tag STARTS WITH QR 
RETURN s.tag"
0,Value-Based,29,DDL,10,Can you return a list of class 29 symbols tags beginning with DDL?,"['DDL 218', 'DDL 577', 'DDL 824']","MATCH (s:Symbol) 
WHERE s.class = 29 AND s.tag STARTS WITH DDL 
RETURN s.tag"
1,Value-Based,8,OP,10,Can you return a list of class 8 symbols tags beginning with OP?,,"MATCH (s:Symbol) 
WHERE s.class = 8 AND s.tag STARTS WITH OP 
RETURN s.tag"
1,Value-Based,14,CV,17,Return all tags for symbols of class 14 with tags beginning with CV,"['CV-14171', 'CV-54255']","MATCH (s:Symbol) 
WHERE s.class = 14 AND s.tag STARTS WITH CV 
RETURN s.tag"
1,Value-Based,12,WX,9,"Given the start of tag WX, find all the tags of class 12  that satisifies the condition","['WX-86327', 'WX-78506', 'WX-43060']","MATCH (s:Symbol) 
WHERE s.class = 12 AND s.tag STARTS WITH WX 
RETURN s.tag"
1,Value-Based,22,CS,20,Enlist all class 22 symbols where the tag prefix matches CS,"['CS-15', 'CS-71']","MATCH (s:Symbol) 
WHERE s.class = 22 AND s.tag STARTS WITH CS 
RETURN s.tag"
1,Value-Based,25,ERV,20,Enlist all class 25 symbols where the tag prefix matches ERV,"['ERV-5-72', 'ERV-2-36']","MATCH (s:Symbol) 
WHERE s.class = 25 AND s.tag STARTS WITH ERV 
RETURN s.tag"
1,Value-Based,25,ERV,1,Can you give me a list of class 25 symbols' tags that starts with ERV?,"['ERV-5-72', 'ERV-2-36']","MATCH (s:Symbol) 
WHERE s.class = 25 AND s.tag STARTS WITH ERV 
RETURN s.tag"
1,Value-Based,3,EF,6,Give me the class 3 symbols' tags that begin with EF,,"MATCH (s:Symbol) 
WHERE s.class = 3 AND s.tag STARTS WITH EF 
RETURN s.tag"
1,Value-Based,8,OP,4,List all tag for symbols classified as 8 that have OP in the start,,"MATCH (s:Symbol) 
WHERE s.class = 8 AND s.tag STARTS WITH OP 
RETURN s.tag"
1,Value-Based,22,CS,14,Can you extract all tags from class 22 symbols having CS in the start?,"['CS-15', 'CS-71']","MATCH (s:Symbol) 
WHERE s.class = 22 AND s.tag STARTS WITH CS 
RETURN s.tag"
1,Value-Based,3,EF,13,Find all tags of 3 symbols that begin with EF,,"MATCH (s:Symbol) 
WHERE s.class = 3 AND s.tag STARTS WITH EF 
RETURN s.tag"
1,Value-Based,1,AB,4,List all tag for symbols classified as 1 that have AB in the start,"['AB-50725', 'AB-41304', 'AB-08550']","MATCH (s:Symbol) 
WHERE s.class = 1 AND s.tag STARTS WITH AB 
RETURN s.tag"
1,Value-Based,11,UV,4,List all tag for symbols classified as 11 that have UV in the start,"['UV-02010', 'UV-56409']","MATCH (s:Symbol) 
WHERE s.class = 11 AND s.tag STARTS WITH UV 
RETURN s.tag"
1,Value-Based,16,RV,10,Can you return a list of class 16 symbols tags beginning with RV?,"['RV-37575', 'RV-61497', 'RV-77501']","MATCH (s:Symbol) 
WHERE s.class = 16 AND s.tag STARTS WITH RV 
RETURN s.tag"
1,Value-Based,6,KL,9,"Given the start of tag KL, find all the tags of class 6  that satisifies the condition","['KL-89235', 'KL-87075']","MATCH (s:Symbol) 
WHERE s.class = 6 AND s.tag STARTS WITH KL 
RETURN s.tag"
1,Value-Based,23,INS,1,Can you give me a list of class 23 symbols' tags that starts with INS?,"['INS ( -59°C )', 'INS ( 49°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
1,Value-Based,10,ST,3,Enlist all class 10 symbols tags that start with ST?,"['ST-76921', 'ST-20204', 'ST-24833', 'ST-36605']","MATCH (s:Symbol) 
WHERE s.class = 10 AND s.tag STARTS WITH ST 
RETURN s.tag"
1,Value-Based,9,QR,17,Return all tags for symbols of class 9 with tags beginning with QR,['QR-52567'],"MATCH (s:Symbol) 
WHERE s.class = 9 AND s.tag STARTS WITH QR 
RETURN s.tag"
1,Value-Based,23,INS,19,Give me a list of tags belonging to class 23 symbols that start with INS,"['INS ( -59°C )', 'INS ( 49°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
1,Value-Based,31,ZLC,6,Give me the class 31 symbols' tags that begin with ZLC,,"MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLC 
RETURN s.tag"
1,Value-Based,25,ERV,7,Fetch all class 25 symbols tags that is prefix with ERV,"['ERV-5-72', 'ERV-2-36']","MATCH (s:Symbol) 
WHERE s.class = 25 AND s.tag STARTS WITH ERV 
RETURN s.tag"
1,Value-Based,6,KL,9,"Given the start of tag KL, find all the tags of class 6  that satisifies the condition","['KL-89235', 'KL-87075']","MATCH (s:Symbol) 
WHERE s.class = 6 AND s.tag STARTS WITH KL 
RETURN s.tag"
1,Value-Based,7,MN,6,Give me the class 7 symbols' tags that begin with MN,['MN-07424'],"MATCH (s:Symbol) 
WHERE s.class = 7 AND s.tag STARTS WITH MN 
RETURN s.tag"
1,Value-Based,7,MN,20,Enlist all class 7 symbols where the tag prefix matches MN,['MN-07424'],"MATCH (s:Symbol) 
WHERE s.class = 7 AND s.tag STARTS WITH MN 
RETURN s.tag"
1,Value-Based,11,UV,12,Which tags of class 11 starts with UV?,"['UV-02010', 'UV-56409']","MATCH (s:Symbol) 
WHERE s.class = 11 AND s.tag STARTS WITH UV 
RETURN s.tag"
1,Value-Based,14,CV,20,Enlist all class 14 symbols where the tag prefix matches CV,"['CV-14171', 'CV-54255']","MATCH (s:Symbol) 
WHERE s.class = 14 AND s.tag STARTS WITH CV 
RETURN s.tag"
1,Value-Based,12,WX,19,Give me a list of tags belonging to class 12 symbols that start with WX,"['WX-86327', 'WX-78506', 'WX-43060']","MATCH (s:Symbol) 
WHERE s.class = 12 AND s.tag STARTS WITH WX 
RETURN s.tag"
1,Value-Based,28,SDL,8,What are the class 28 symbols with tags starting from SDL?,"['SDL 524', 'SDL 505', 'SDL 548', 'SDL 839']","MATCH (s:Symbol) 
WHERE s.class = 28 AND s.tag STARTS WITH SDL 
RETURN s.tag"
1,Value-Based,22,CS,16,Enlist all the tags of class 22 symbols with CS as starting in their tags?,"['CS-15', 'CS-71']","MATCH (s:Symbol) 
WHERE s.class = 22 AND s.tag STARTS WITH CS 
RETURN s.tag"
1,Value-Based,5,IJ,14,Can you extract all tags from class 5 symbols having IJ in the start?,"['IJ-92054', 'IJ-90352', 'IJ-86173']","MATCH (s:Symbol) 
WHERE s.class = 5 AND s.tag STARTS WITH IJ 
RETURN s.tag"
1,Value-Based,22,CS,11,Provide the list of 22 symbols' tags having CS in the beginning,"['CS-15', 'CS-71']","MATCH (s:Symbol) 
WHERE s.class = 22 AND s.tag STARTS WITH CS 
RETURN s.tag"
1,Value-Based,8,OP,12,Which tags of class 8 starts with OP?,,"MATCH (s:Symbol) 
WHERE s.class = 8 AND s.tag STARTS WITH OP 
RETURN s.tag"
1,Value-Based,12,WX,4,List all tag for symbols classified as 12 that have WX in the start,"['WX-86327', 'WX-78506', 'WX-43060']","MATCH (s:Symbol) 
WHERE s.class = 12 AND s.tag STARTS WITH WX 
RETURN s.tag"
2,Value-Based,1,AB,11,Provide the list of 1 symbols' tags having AB in the beginning,"['AB-66005', 'AB-59065', 'AB-58307']","MATCH (s:Symbol) 
WHERE s.class = 1 AND s.tag STARTS WITH AB 
RETURN s.tag"
2,Value-Based,11,UV,5,Enumerate tags for 11 symbols that starts with UV as prefix?,"['UV-74443', 'UV-90988', 'UV-18907', 'UV-05201']","MATCH (s:Symbol) 
WHERE s.class = 11 AND s.tag STARTS WITH UV 
RETURN s.tag"
2,Value-Based,5,IJ,13,Find all tags of 5 symbols that begin with IJ,"['IJ-83253', 'IJ-43075', 'IJ-07591']","MATCH (s:Symbol) 
WHERE s.class = 5 AND s.tag STARTS WITH IJ 
RETURN s.tag"
2,Value-Based,31,ZLO,8,What are the class 31 symbols with tags starting from ZLO?,"['ZLO 756', 'ZLO 418', 'ZLO 274', 'ZLO 462']","MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLO 
RETURN s.tag"
2,Value-Based,10,ST,16,Enlist all the tags of class 10 symbols with ST as starting in their tags?,"['ST-47622', 'ST-68051', 'ST-18163', 'ST-95287', 'ST-09607', 'ST-76271', 'ST-94879', 'ST-48890']","MATCH (s:Symbol) 
WHERE s.class = 10 AND s.tag STARTS WITH ST 
RETURN s.tag"
2,Value-Based,6,KL,11,Provide the list of 6 symbols' tags having KL in the beginning,"['KL-58999', 'KL-62250', 'KL-29271', 'KL-53206']","MATCH (s:Symbol) 
WHERE s.class = 6 AND s.tag STARTS WITH KL 
RETURN s.tag"
2,Value-Based,31,ZLC,12,Which tags of class 31 starts with ZLC?,['ZLC 503'],"MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLC 
RETURN s.tag"
2,Value-Based,5,IJ,11,Provide the list of 5 symbols' tags having IJ in the beginning,"['IJ-83253', 'IJ-43075', 'IJ-07591']","MATCH (s:Symbol) 
WHERE s.class = 5 AND s.tag STARTS WITH IJ 
RETURN s.tag"
2,Value-Based,26,GRI,2,Provide list of all class 26 symbols tags which begins with GRI,"['GRI 871', 'GRI 134', 'GRI 453']","MATCH (s:Symbol) 
WHERE s.class = 26 AND s.tag STARTS WITH GRI 
RETURN s.tag"
2,Value-Based,13,AV,16,Enlist all the tags of class 13 symbols with AV as starting in their tags?,"['AV-97932', 'AV-63942']","MATCH (s:Symbol) 
WHERE s.class = 13 AND s.tag STARTS WITH AV 
RETURN s.tag"
2,Value-Based,3,EF,20,Enlist all class 3 symbols where the tag prefix matches EF,"['EF-81061', 'EF-81898']","MATCH (s:Symbol) 
WHERE s.class = 3 AND s.tag STARTS WITH EF 
RETURN s.tag"
2,Value-Based,2,CD,3,Enlist all class 2 symbols tags that start with CD?,['CD-36908'],"MATCH (s:Symbol) 
WHERE s.class = 2 AND s.tag STARTS WITH CD 
RETURN s.tag"
2,Value-Based,16,RV,16,Enlist all the tags of class 16 symbols with RV as starting in their tags?,"['RV-97271', 'RV-95193', 'RV-10141']","MATCH (s:Symbol) 
WHERE s.class = 16 AND s.tag STARTS WITH RV 
RETURN s.tag"
2,Value-Based,6,KL,1,Can you give me a list of class 6 symbols' tags that starts with KL?,"['KL-58999', 'KL-62250', 'KL-29271', 'KL-53206']","MATCH (s:Symbol) 
WHERE s.class = 6 AND s.tag STARTS WITH KL 
RETURN s.tag"
2,Value-Based,16,RV,15,List the tags for 16 symbols whose tags start from RV,"['RV-97271', 'RV-95193', 'RV-10141']","MATCH (s:Symbol) 
WHERE s.class = 16 AND s.tag STARTS WITH RV 
RETURN s.tag"
2,Value-Based,31,ZLC,16,Enlist all the tags of class 31 symbols with ZLC as starting in their tags?,['ZLC 503'],"MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLC 
RETURN s.tag"
2,Value-Based,14,CV,16,Enlist all the tags of class 14 symbols with CV as starting in their tags?,"['CV-94050', 'CV-52834', 'CV-03996']","MATCH (s:Symbol) 
WHERE s.class = 14 AND s.tag STARTS WITH CV 
RETURN s.tag"
2,Value-Based,30,STA,8,What are the class 30 symbols with tags starting from STA?,"['STA', 'STA', 'STA']","MATCH (s:Symbol) 
WHERE s.class = 30 AND s.tag STARTS WITH STA 
RETURN s.tag"
2,Value-Based,5,IJ,14,Can you extract all tags from class 5 symbols having IJ in the start?,"['IJ-83253', 'IJ-43075', 'IJ-07591']","MATCH (s:Symbol) 
WHERE s.class = 5 AND s.tag STARTS WITH IJ 
RETURN s.tag"
2,Value-Based,7,MN,5,Enumerate tags for 7 symbols that starts with MN as prefix?,"['MN-50362', 'MN-46505', 'MN-65606', 'MN-47831']","MATCH (s:Symbol) 
WHERE s.class = 7 AND s.tag STARTS WITH MN 
RETURN s.tag"
2,Value-Based,29,DDL,19,Give me a list of tags belonging to class 29 symbols that start with DDL,"['DDL 824', 'DDL 724']","MATCH (s:Symbol) 
WHERE s.class = 29 AND s.tag STARTS WITH DDL 
RETURN s.tag"
2,Value-Based,12,WX,19,Give me a list of tags belonging to class 12 symbols that start with WX,"['WX-87630', 'WX-45823', 'WX-82066', 'WX-91337']","MATCH (s:Symbol) 
WHERE s.class = 12 AND s.tag STARTS WITH WX 
RETURN s.tag"
2,Value-Based,23,INS,15,List the tags for 23 symbols whose tags start from INS,"['INS ( 54°C )', 'INS ( 15°C )', 'INS ( -41°C )', 'INS ( -24°C )', 'INS ( 47°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
2,Value-Based,8,OP,15,List the tags for 8 symbols whose tags start from OP,,"MATCH (s:Symbol) 
WHERE s.class = 8 AND s.tag STARTS WITH OP 
RETURN s.tag"
2,Value-Based,1,AB,7,Fetch all class 1 symbols tags that is prefix with AB,"['AB-66005', 'AB-59065', 'AB-58307']","MATCH (s:Symbol) 
WHERE s.class = 1 AND s.tag STARTS WITH AB 
RETURN s.tag"
2,Value-Based,1,AB,4,List all tag for symbols classified as 1 that have AB in the start,"['AB-66005', 'AB-59065', 'AB-58307']","MATCH (s:Symbol) 
WHERE s.class = 1 AND s.tag STARTS WITH AB 
RETURN s.tag"
2,Value-Based,4,GH,9,"Given the start of tag GH, find all the tags of class 4  that satisifies the condition",['GH-20054'],"MATCH (s:Symbol) 
WHERE s.class = 4 AND s.tag STARTS WITH GH 
RETURN s.tag"
2,Value-Based,26,GI,6,Give me the class 26 symbols' tags that begin with GI,"['GI 351', 'GI 905']","MATCH (s:Symbol) 
WHERE s.class = 26 AND s.tag STARTS WITH GI 
RETURN s.tag"
2,Value-Based,2,CD,19,Give me a list of tags belonging to class 2 symbols that start with CD,['CD-36908'],"MATCH (s:Symbol) 
WHERE s.class = 2 AND s.tag STARTS WITH CD 
RETURN s.tag"
2,Value-Based,23,INS,11,Provide the list of 23 symbols' tags having INS in the beginning,"['INS ( 54°C )', 'INS ( 15°C )', 'INS ( -41°C )', 'INS ( -24°C )', 'INS ( 47°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
2,Value-Based,7,MN,18,Can you list all the tags of class 7 symbols where tags start with MN?,"['MN-50362', 'MN-46505', 'MN-65606', 'MN-47831']","MATCH (s:Symbol) 
WHERE s.class = 7 AND s.tag STARTS WITH MN 
RETURN s.tag"
2,Value-Based,12,WX,6,Give me the class 12 symbols' tags that begin with WX,"['WX-87630', 'WX-45823', 'WX-82066', 'WX-91337']","MATCH (s:Symbol) 
WHERE s.class = 12 AND s.tag STARTS WITH WX 
RETURN s.tag"
3,Value-Based,15,DV,13,Find all tags of 15 symbols that begin with DV,"['DV-96870', 'DV-22510', 'DV-75930', 'DV-29035', 'DV-61240']","MATCH (s:Symbol) 
WHERE s.class = 15 AND s.tag STARTS WITH DV 
RETURN s.tag"
3,Value-Based,28,SDL,19,Give me a list of tags belonging to class 28 symbols that start with SDL,['SDL 954'],"MATCH (s:Symbol) 
WHERE s.class = 28 AND s.tag STARTS WITH SDL 
RETURN s.tag"
3,Value-Based,29,DDL,14,Can you extract all tags from class 29 symbols having DDL in the start?,"['DDL 427', 'DDL 635', 'DDL 490', 'DDL 730', 'DDL 356', 'DDL 106']","MATCH (s:Symbol) 
WHERE s.class = 29 AND s.tag STARTS WITH DDL 
RETURN s.tag"
3,Value-Based,30,STA,18,Can you list all the tags of class 30 symbols where tags start with STA?,"['STA', 'STA']","MATCH (s:Symbol) 
WHERE s.class = 30 AND s.tag STARTS WITH STA 
RETURN s.tag"
3,Value-Based,5,IJ,7,Fetch all class 5 symbols tags that is prefix with IJ,"['IJ-88089', 'IJ-78703']","MATCH (s:Symbol) 
WHERE s.class = 5 AND s.tag STARTS WITH IJ 
RETURN s.tag"
3,Value-Based,31,ZLC,17,Return all tags for symbols of class 31 with tags beginning with ZLC,"['ZLC 682', 'ZLC 345']","MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLC 
RETURN s.tag"
3,Value-Based,13,AV,7,Fetch all class 13 symbols tags that is prefix with AV,['AV-68800'],"MATCH (s:Symbol) 
WHERE s.class = 13 AND s.tag STARTS WITH AV 
RETURN s.tag"
3,Value-Based,12,WX,8,What are the class 12 symbols with tags starting from WX?,"['WX-50993', 'WX-54207', 'WX-97476']","MATCH (s:Symbol) 
WHERE s.class = 12 AND s.tag STARTS WITH WX 
RETURN s.tag"
3,Value-Based,22,CS,6,Give me the class 22 symbols' tags that begin with CS,"['CS-37', 'CS-74']","MATCH (s:Symbol) 
WHERE s.class = 22 AND s.tag STARTS WITH CS 
RETURN s.tag"
3,Value-Based,23,INS,10,Can you return a list of class 23 symbols tags beginning with INS?,"['INS ( 43°C )', 'INS ( 34°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
3,Value-Based,30,STA,7,Fetch all class 30 symbols tags that is prefix with STA,"['STA', 'STA']","MATCH (s:Symbol) 
WHERE s.class = 30 AND s.tag STARTS WITH STA 
RETURN s.tag"
3,Value-Based,25,ERV,3,Enlist all class 25 symbols tags that start with ERV?,"['ERV-8-26', 'ERV-4-66', 'ERV-6-91']","MATCH (s:Symbol) 
WHERE s.class = 25 AND s.tag STARTS WITH ERV 
RETURN s.tag"
3,Value-Based,25,ERV,1,Can you give me a list of class 25 symbols' tags that starts with ERV?,"['ERV-8-26', 'ERV-4-66', 'ERV-6-91']","MATCH (s:Symbol) 
WHERE s.class = 25 AND s.tag STARTS WITH ERV 
RETURN s.tag"
3,Value-Based,29,DDL,8,What are the class 29 symbols with tags starting from DDL?,"['DDL 427', 'DDL 635', 'DDL 490', 'DDL 730', 'DDL 356', 'DDL 106']","MATCH (s:Symbol) 
WHERE s.class = 29 AND s.tag STARTS WITH DDL 
RETURN s.tag"
3,Value-Based,2,CD,1,Can you give me a list of class 2 symbols' tags that starts with CD?,"['CD-04209', 'CD-08430', 'CD-67363', 'CD-20741']","MATCH (s:Symbol) 
WHERE s.class = 2 AND s.tag STARTS WITH CD 
RETURN s.tag"
3,Value-Based,11,UV,19,Give me a list of tags belonging to class 11 symbols that start with UV,"['UV-37037', 'UV-68392', 'UV-78676', 'UV-13295']","MATCH (s:Symbol) 
WHERE s.class = 11 AND s.tag STARTS WITH UV 
RETURN s.tag"
3,Value-Based,22,CS,4,List all tag for symbols classified as 22 that have CS in the start,"['CS-37', 'CS-74']","MATCH (s:Symbol) 
WHERE s.class = 22 AND s.tag STARTS WITH CS 
RETURN s.tag"
3,Value-Based,1,AB,15,List the tags for 1 symbols whose tags start from AB,"['AB-74720', 'AB-98071', 'AB-03941', 'AB-02116']","MATCH (s:Symbol) 
WHERE s.class = 1 AND s.tag STARTS WITH AB 
RETURN s.tag"
3,Value-Based,22,CS,5,Enumerate tags for 22 symbols that starts with CS as prefix?,"['CS-37', 'CS-74']","MATCH (s:Symbol) 
WHERE s.class = 22 AND s.tag STARTS WITH CS 
RETURN s.tag"
3,Value-Based,8,OP,8,What are the class 8 symbols with tags starting from OP?,['OP-11854'],"MATCH (s:Symbol) 
WHERE s.class = 8 AND s.tag STARTS WITH OP 
RETURN s.tag"
3,Value-Based,29,DDL,11,Provide the list of 29 symbols' tags having DDL in the beginning,"['DDL 427', 'DDL 635', 'DDL 490', 'DDL 730', 'DDL 356', 'DDL 106']","MATCH (s:Symbol) 
WHERE s.class = 29 AND s.tag STARTS WITH DDL 
RETURN s.tag"
3,Value-Based,28,SDL,6,Give me the class 28 symbols' tags that begin with SDL,['SDL 954'],"MATCH (s:Symbol) 
WHERE s.class = 28 AND s.tag STARTS WITH SDL 
RETURN s.tag"
3,Value-Based,2,CD,19,Give me a list of tags belonging to class 2 symbols that start with CD,"['CD-04209', 'CD-08430', 'CD-67363', 'CD-20741']","MATCH (s:Symbol) 
WHERE s.class = 2 AND s.tag STARTS WITH CD 
RETURN s.tag"
3,Value-Based,13,AV,17,Return all tags for symbols of class 13 with tags beginning with AV,['AV-68800'],"MATCH (s:Symbol) 
WHERE s.class = 13 AND s.tag STARTS WITH AV 
RETURN s.tag"
3,Value-Based,10,ST,1,Can you give me a list of class 10 symbols' tags that starts with ST?,['ST-96091'],"MATCH (s:Symbol) 
WHERE s.class = 10 AND s.tag STARTS WITH ST 
RETURN s.tag"
3,Value-Based,14,CV,7,Fetch all class 14 symbols tags that is prefix with CV,,"MATCH (s:Symbol) 
WHERE s.class = 14 AND s.tag STARTS WITH CV 
RETURN s.tag"
