P&ID_number,Type,Symbol_Class,Q_id,Question,GT,Cypher
0,Count,20,4,Could you provide the count of symbols in class 20?,5,"MATCH (s:Symbol) 
WHERE s.class = 20 
RETURN count(s)"
0,Count,21,6,What's the number of symbols that fall under class 21?,15,"MATCH (s:Symbol) 
WHERE s.class = 21 
RETURN count(s)"
0,Count,22,17,Can you tell me the total number of symbols in the class 22?,4,"MATCH (s:Symbol) 
WHERE s.class = 22 
RETURN count(s)"
0,Count,23,17,Can you tell me the total number of symbols in the class 23?,3,"MATCH (s:Symbol) 
WHERE s.class = 23 
RETURN count(s)"
0,Count,24,2,What is the quantity of symbols in class 24?,1,"MATCH (s:Symbol) 
WHERE s.class = 24 
RETURN count(s)"
0,Count,25,1,Can you tell me how many symbols are there in the 25 class?,4,"MATCH (s:Symbol) 
WHERE s.class = 25 
RETURN count(s)"
0,Count,26,11,What is the number of symbols in 26?,2,"MATCH (s:Symbol) 
WHERE s.class = 26 
RETURN count(s)"
0,Count,27,4,Could you provide the count of symbols in class 27?,1,"MATCH (s:Symbol) 
WHERE s.class = 27 
RETURN count(s)"
0,Count,28,10,How many symbols are categorized as 28?,3,"MATCH (s:Symbol) 
WHERE s.class = 28 
RETURN count(s)"
0,Count,29,1,Can you tell me how many symbols are there in the 29 class?,3,"MATCH (s:Symbol) 
WHERE s.class = 29 
RETURN count(s)"
0,Count,30,13,What is the count of 30?,2,"MATCH (s:Symbol) 
WHERE s.class = 30 
RETURN count(s)"
0,Count,31,6,What's the number of symbols that fall under class 31?,2,"MATCH (s:Symbol) 
WHERE s.class = 31 
RETURN count(s)"
0,Count,32,7,How many symbols are classified under 32?,3,"MATCH (s:Symbol) 
WHERE s.class = 32 
RETURN count(s)"
1,Count,1,19,How many symbols are there in the category of class 1?,3,"MATCH (s:Symbol) 
WHERE s.class = 1 
RETURN count(s)"
1,Count,2,20,Can you provide the total count of symbols from class 2?,4,"MATCH (s:Symbol) 
WHERE s.class = 2 
RETURN count(s)"
1,Count,3,9,What's the total count of symbols from class 3?,0,"MATCH (s:Symbol) 
WHERE s.class = 3 
RETURN count(s)"
1,Count,4,16,How many symbols fall under the category of class 4?,4,"MATCH (s:Symbol) 
WHERE s.class = 4 
RETURN count(s)"
1,Count,5,8,Can you enumerate the symbols of class 5?,3,"MATCH (s:Symbol) 
WHERE s.class = 5 
RETURN count(s)"
1,Count,6,12,How many 6?,2,"MATCH (s:Symbol) 
WHERE s.class = 6 
RETURN count(s)"
1,Count,7,4,Could you provide the count of symbols in class 7?,1,"MATCH (s:Symbol) 
WHERE s.class = 7 
RETURN count(s)"
1,Count,8,18,How many 8 symbols are there?,0,"MATCH (s:Symbol) 
WHERE s.class = 8 
RETURN count(s)"
1,Count,9,11,What is the number of symbols in 9?,1,"MATCH (s:Symbol) 
WHERE s.class = 9 
RETURN count(s)"
1,Count,10,5,Can you count the symbols that are in class 10?,4,"MATCH (s:Symbol) 
WHERE s.class = 10 
RETURN count(s)"
1,Count,11,9,What's the total count of symbols from class 11?,2,"MATCH (s:Symbol) 
WHERE s.class = 11 
RETURN count(s)"
1,Count,12,20,Can you provide the total count of symbols from class 12?,3,"MATCH (s:Symbol) 
WHERE s.class = 12 
RETURN count(s)"
1,Count,13,19,How many symbols are there in the category of class 13?,4,"MATCH (s:Symbol) 
WHERE s.class = 13 
RETURN count(s)"
1,Count,14,1,Can you tell me how many symbols are there in the 14 class?,2,"MATCH (s:Symbol) 
WHERE s.class = 14 
RETURN count(s)"
1,Count,15,3,How many symbols are there that belong to the 15 class?,4,"MATCH (s:Symbol) 
WHERE s.class = 15 
RETURN count(s)"
1,Count,16,10,How many symbols are categorized as 16?,3,"MATCH (s:Symbol) 
WHERE s.class = 16 
RETURN count(s)"
1,Count,17,20,Can you provide the total count of symbols from class 17?,2,"MATCH (s:Symbol) 
WHERE s.class = 17 
RETURN count(s)"
1,Count,18,13,What is the count of 18?,2,"MATCH (s:Symbol) 
WHERE s.class = 18 
RETURN count(s)"
1,Count,19,8,Can you enumerate the symbols of class 19?,5,"MATCH (s:Symbol) 
WHERE s.class = 19 
RETURN count(s)"
1,Count,20,6,What's the number of symbols that fall under class 20?,0,"MATCH (s:Symbol) 
WHERE s.class = 20 
RETURN count(s)"
1,Count,21,3,How many symbols are there that belong to the 21 class?,14,"MATCH (s:Symbol) 
WHERE s.class = 21 
RETURN count(s)"
1,Count,22,4,Could you provide the count of symbols in class 22?,2,"MATCH (s:Symbol) 
WHERE s.class = 22 
RETURN count(s)"
1,Count,23,15,What's the count of symbols that are classified as 23?,2,"MATCH (s:Symbol) 
WHERE s.class = 23 
RETURN count(s)"
1,Count,24,18,How many 24 symbols are there?,2,"MATCH (s:Symbol) 
WHERE s.class = 24 
RETURN count(s)"
1,Count,25,14,Can you provide the number of symbols in class 25?,2,"MATCH (s:Symbol) 
WHERE s.class = 25 
RETURN count(s)"
1,Count,26,5,Can you count the symbols that are in class 26?,3,"MATCH (s:Symbol) 
WHERE s.class = 26 
RETURN count(s)"
1,Count,27,17,Can you tell me the total number of symbols in the class 27?,2,"MATCH (s:Symbol) 
WHERE s.class = 27 
RETURN count(s)"
1,Count,28,6,What's the number of symbols that fall under class 28?,4,"MATCH (s:Symbol) 
WHERE s.class = 28 
RETURN count(s)"
1,Count,29,10,How many symbols are categorized as 29?,1,"MATCH (s:Symbol) 
WHERE s.class = 29 
RETURN count(s)"
1,Count,30,7,How many symbols are classified under 30?,4,"MATCH (s:Symbol) 
WHERE s.class = 30 
RETURN count(s)"
1,Count,31,14,Can you provide the number of symbols in class 31?,4,"MATCH (s:Symbol) 
WHERE s.class = 31 
RETURN count(s)"
1,Count,32,8,Can you enumerate the symbols of class 32?,3,"MATCH (s:Symbol) 
WHERE s.class = 32 
RETURN count(s)"
2,Count,1,4,Could you provide the count of symbols in class 1?,3,"MATCH (s:Symbol) 
WHERE s.class = 1 
RETURN count(s)"
2,Count,2,17,Can you tell me the total number of symbols in the class 2?,1,"MATCH (s:Symbol) 
WHERE s.class = 2 
RETURN count(s)"
2,Count,3,11,What is the number of symbols in 3?,2,"MATCH (s:Symbol) 
WHERE s.class = 3 
RETURN count(s)"
2,Count,4,5,Can you count the symbols that are in class 4?,1,"MATCH (s:Symbol) 
WHERE s.class = 4 
RETURN count(s)"
2,Count,5,16,How many symbols fall under the category of class 5?,3,"MATCH (s:Symbol) 
WHERE s.class = 5 
RETURN count(s)"
2,Count,6,13,What is the count of 6?,4,"MATCH (s:Symbol) 
WHERE s.class = 6 
RETURN count(s)"
2,Count,7,1,Can you tell me how many symbols are there in the 7 class?,4,"MATCH (s:Symbol) 
WHERE s.class = 7 
RETURN count(s)"
2,Count,8,4,Could you provide the count of symbols in class 8?,0,"MATCH (s:Symbol) 
WHERE s.class = 8 
RETURN count(s)"
2,Count,9,1,Can you tell me how many symbols are there in the 9 class?,4,"MATCH (s:Symbol) 
WHERE s.class = 9 
RETURN count(s)"
2,Count,10,4,Could you provide the count of symbols in class 10?,8,"MATCH (s:Symbol) 
WHERE s.class = 10 
RETURN count(s)"
2,Count,11,13,What is the count of 11?,4,"MATCH (s:Symbol) 
WHERE s.class = 11 
RETURN count(s)"
2,Count,12,20,Can you provide the total count of symbols from class 12?,4,"MATCH (s:Symbol) 
WHERE s.class = 12 
RETURN count(s)"
2,Count,13,6,What's the number of symbols that fall under class 13?,2,"MATCH (s:Symbol) 
WHERE s.class = 13 
RETURN count(s)"
2,Count,14,18,How many 14 symbols are there?,3,"MATCH (s:Symbol) 
WHERE s.class = 14 
RETURN count(s)"
2,Count,15,9,What's the total count of symbols from class 15?,3,"MATCH (s:Symbol) 
WHERE s.class = 15 
RETURN count(s)"
2,Count,16,15,What's the count of symbols that are classified as 16?,3,"MATCH (s:Symbol) 
WHERE s.class = 16 
RETURN count(s)"
2,Count,17,20,Can you provide the total count of symbols from class 17?,4,"MATCH (s:Symbol) 
WHERE s.class = 17 
RETURN count(s)"
2,Count,18,1,Can you tell me how many symbols are there in the 18 class?,2,"MATCH (s:Symbol) 
WHERE s.class = 18 
RETURN count(s)"
2,Count,19,14,Can you provide the number of symbols in class 19?,0,"MATCH (s:Symbol) 
WHERE s.class = 19 
RETURN count(s)"
2,Count,20,16,How many symbols fall under the category of class 20?,4,"MATCH (s:Symbol) 
WHERE s.class = 20 
RETURN count(s)"
2,Count,21,5,Can you count the symbols that are in class 21?,12,"MATCH (s:Symbol) 
WHERE s.class = 21 
RETURN count(s)"
2,Count,22,11,What is the number of symbols in 22?,5,"MATCH (s:Symbol) 
WHERE s.class = 22 
RETURN count(s)"
2,Count,23,10,How many symbols are categorized as 23?,5,"MATCH (s:Symbol) 
WHERE s.class = 23 
RETURN count(s)"
2,Count,24,2,What is the quantity of symbols in class 24?,1,"MATCH (s:Symbol) 
WHERE s.class = 24 
RETURN count(s)"
2,Count,25,20,Can you provide the total count of symbols from class 25?,4,"MATCH (s:Symbol) 
WHERE s.class = 25 
RETURN count(s)"
2,Count,26,14,Can you provide the number of symbols in class 26?,7,"MATCH (s:Symbol) 
WHERE s.class = 26 
RETURN count(s)"
2,Count,27,3,How many symbols are there that belong to the 27 class?,3,"MATCH (s:Symbol) 
WHERE s.class = 27 
RETURN count(s)"
2,Count,28,13,What is the count of 28?,3,"MATCH (s:Symbol) 
WHERE s.class = 28 
RETURN count(s)"
2,Count,29,15,What's the count of symbols that are classified as 29?,2,"MATCH (s:Symbol) 
WHERE s.class = 29 
RETURN count(s)"
2,Count,30,17,Can you tell me the total number of symbols in the class 30?,3,"MATCH (s:Symbol) 
WHERE s.class = 30 
RETURN count(s)"
2,Count,31,17,Can you tell me the total number of symbols in the class 31?,5,"MATCH (s:Symbol) 
WHERE s.class = 31 
RETURN count(s)"
2,Count,32,6,What's the number of symbols that fall under class 32?,2,"MATCH (s:Symbol) 
WHERE s.class = 32 
RETURN count(s)"
3,Count,1,9,What's the total count of symbols from class 1?,4,"MATCH (s:Symbol) 
WHERE s.class = 1 
RETURN count(s)"
3,Count,2,19,How many symbols are there in the category of class 2?,4,"MATCH (s:Symbol) 
WHERE s.class = 2 
RETURN count(s)"
3,Count,3,17,Can you tell me the total number of symbols in the class 3?,5,"MATCH (s:Symbol) 
WHERE s.class = 3 
RETURN count(s)"
3,Count,4,3,How many symbols are there that belong to the 4 class?,2,"MATCH (s:Symbol) 
WHERE s.class = 4 
RETURN count(s)"
3,Count,5,6,What's the number of symbols that fall under class 5?,2,"MATCH (s:Symbol) 
WHERE s.class = 5 
RETURN count(s)"
3,Count,6,1,Can you tell me how many symbols are there in the 6 class?,5,"MATCH (s:Symbol) 
WHERE s.class = 6 
RETURN count(s)"
3,Count,7,20,Can you provide the total count of symbols from class 7?,1,"MATCH (s:Symbol) 
WHERE s.class = 7 
RETURN count(s)"
3,Count,8,9,What's the total count of symbols from class 8?,1,"MATCH (s:Symbol) 
WHERE s.class = 8 
RETURN count(s)"
3,Count,9,12,How many 9?,1,"MATCH (s:Symbol) 
WHERE s.class = 9 
RETURN count(s)"
3,Count,10,13,What is the count of 10?,1,"MATCH (s:Symbol) 
WHERE s.class = 10 
RETURN count(s)"
3,Count,11,5,Can you count the symbols that are in class 11?,4,"MATCH (s:Symbol) 
WHERE s.class = 11 
RETURN count(s)"
3,Count,12,17,Can you tell me the total number of symbols in the class 12?,3,"MATCH (s:Symbol) 
WHERE s.class = 12 
RETURN count(s)"
3,Count,13,9,What's the total count of symbols from class 13?,1,"MATCH (s:Symbol) 
WHERE s.class = 13 
RETURN count(s)"
3,Count,14,14,Can you provide the number of symbols in class 14?,0,"MATCH (s:Symbol) 
WHERE s.class = 14 
RETURN count(s)"
3,Count,15,15,What's the count of symbols that are classified as 15?,5,"MATCH (s:Symbol) 
WHERE s.class = 15 
RETURN count(s)"
3,Count,16,16,How many symbols fall under the category of class 16?,2,"MATCH (s:Symbol) 
WHERE s.class = 16 
RETURN count(s)"
3,Count,17,3,How many symbols are there that belong to the 17 class?,4,"MATCH (s:Symbol) 
WHERE s.class = 17 
RETURN count(s)"
3,Count,18,10,How many symbols are categorized as 18?,4,"MATCH (s:Symbol) 
WHERE s.class = 18 
RETURN count(s)"
3,Count,19,12,How many 19?,1,"MATCH (s:Symbol) 
WHERE s.class = 19 
RETURN count(s)"
3,Count,20,8,Can you enumerate the symbols of class 20?,2,"MATCH (s:Symbol) 
WHERE s.class = 20 
RETURN count(s)"
3,Count,21,2,What is the quantity of symbols in class 21?,9,"MATCH (s:Symbol) 
WHERE s.class = 21 
RETURN count(s)"
3,Count,22,2,What is the quantity of symbols in class 22?,2,"MATCH (s:Symbol) 
WHERE s.class = 22 
RETURN count(s)"
3,Count,23,20,Can you provide the total count of symbols from class 23?,2,"MATCH (s:Symbol) 
WHERE s.class = 23 
RETURN count(s)"
3,Count,24,2,What is the quantity of symbols in class 24?,1,"MATCH (s:Symbol) 
WHERE s.class = 24 
RETURN count(s)"
3,Count,25,2,What is the quantity of symbols in class 25?,3,"MATCH (s:Symbol) 
WHERE s.class = 25 
RETURN count(s)"
3,Count,26,20,Can you provide the total count of symbols from class 26?,1,"MATCH (s:Symbol) 
WHERE s.class = 26 
RETURN count(s)"
3,Count,27,5,Can you count the symbols that are in class 27?,5,"MATCH (s:Symbol) 
WHERE s.class = 27 
RETURN count(s)"
3,Count,28,13,What is the count of 28?,1,"MATCH (s:Symbol) 
WHERE s.class = 28 
RETURN count(s)"
3,Count,29,7,How many symbols are classified under 29?,6,"MATCH (s:Symbol) 
WHERE s.class = 29 
RETURN count(s)"
3,Count,30,3,How many symbols are there that belong to the 30 class?,2,"MATCH (s:Symbol) 
WHERE s.class = 30 
RETURN count(s)"
3,Count,31,4,Could you provide the count of symbols in class 31?,4,"MATCH (s:Symbol) 
WHERE s.class = 31 
RETURN count(s)"
3,Count,32,13,What is the count of 32?,7,"MATCH (s:Symbol) 
WHERE s.class = 32 
RETURN count(s)"
4,Count,1,5,Can you count the symbols that are in class 1?,1,"MATCH (s:Symbol) 
WHERE s.class = 1 
RETURN count(s)"
4,Count,2,19,How many symbols are there in the category of class 2?,1,"MATCH (s:Symbol) 
WHERE s.class = 2 
RETURN count(s)"
4,Count,3,4,Could you provide the count of symbols in class 3?,3,"MATCH (s:Symbol) 
WHERE s.class = 3 
RETURN count(s)"
4,Count,4,19,How many symbols are there in the category of class 4?,4,"MATCH (s:Symbol) 
WHERE s.class = 4 
RETURN count(s)"
4,Count,5,1,Can you tell me how many symbols are there in the 5 class?,4,"MATCH (s:Symbol) 
WHERE s.class = 5 
RETURN count(s)"
4,Count,6,4,Could you provide the count of symbols in class 6?,3,"MATCH (s:Symbol) 
WHERE s.class = 6 
RETURN count(s)"
4,Count,7,13,What is the count of 7?,4,"MATCH (s:Symbol) 
WHERE s.class = 7 
RETURN count(s)"
4,Count,8,18,How many 8 symbols are there?,4,"MATCH (s:Symbol) 
WHERE s.class = 8 
RETURN count(s)"
4,Count,9,14,Can you provide the number of symbols in class 9?,6,"MATCH (s:Symbol) 
WHERE s.class = 9 
RETURN count(s)"
4,Count,10,19,How many symbols are there in the category of class 10?,1,"MATCH (s:Symbol) 
WHERE s.class = 10 
RETURN count(s)"
4,Count,11,5,Can you count the symbols that are in class 11?,6,"MATCH (s:Symbol) 
WHERE s.class = 11 
RETURN count(s)"
4,Count,12,9,What's the total count of symbols from class 12?,3,"MATCH (s:Symbol) 
WHERE s.class = 12 
RETURN count(s)"
4,Count,13,16,How many symbols fall under the category of class 13?,6,"MATCH (s:Symbol) 
WHERE s.class = 13 
RETURN count(s)"
4,Count,14,11,What is the number of symbols in 14?,4,"MATCH (s:Symbol) 
WHERE s.class = 14 
RETURN count(s)"
4,Count,15,15,What's the count of symbols that are classified as 15?,4,"MATCH (s:Symbol) 
WHERE s.class = 15 
RETURN count(s)"
4,Count,16,4,Could you provide the count of symbols in class 16?,2,"MATCH (s:Symbol) 
WHERE s.class = 16 
RETURN count(s)"
4,Count,17,16,How many symbols fall under the category of class 17?,4,"MATCH (s:Symbol) 
WHERE s.class = 17 
RETURN count(s)"
4,Count,18,7,How many symbols are classified under 18?,4,"MATCH (s:Symbol) 
WHERE s.class = 18 
RETURN count(s)"
4,Count,19,1,Can you tell me how many symbols are there in the 19 class?,2,"MATCH (s:Symbol) 
WHERE s.class = 19 
RETURN count(s)"
4,Count,20,7,How many symbols are classified under 20?,3,"MATCH (s:Symbol) 
WHERE s.class = 20 
RETURN count(s)"
4,Count,21,17,Can you tell me the total number of symbols in the class 21?,13,"MATCH (s:Symbol) 
WHERE s.class = 21 
RETURN count(s)"
4,Count,22,16,How many symbols fall under the category of class 22?,2,"MATCH (s:Symbol) 
WHERE s.class = 22 
RETURN count(s)"
4,Count,23,14,Can you provide the number of symbols in class 23?,9,"MATCH (s:Symbol) 
WHERE s.class = 23 
RETURN count(s)"
4,Count,24,19,How many symbols are there in the category of class 24?,1,"MATCH (s:Symbol) 
WHERE s.class = 24 
RETURN count(s)"
4,Count,25,3,How many symbols are there that belong to the 25 class?,8,"MATCH (s:Symbol) 
WHERE s.class = 25 
RETURN count(s)"
4,Count,26,16,How many symbols fall under the category of class 26?,4,"MATCH (s:Symbol) 
WHERE s.class = 26 
RETURN count(s)"
4,Count,27,13,What is the count of 27?,3,"MATCH (s:Symbol) 
WHERE s.class = 27 
RETURN count(s)"
4,Count,28,12,How many 28?,3,"MATCH (s:Symbol) 
WHERE s.class = 28 
RETURN count(s)"
4,Count,29,5,Can you count the symbols that are in class 29?,4,"MATCH (s:Symbol) 
WHERE s.class = 29 
RETURN count(s)"
4,Count,30,1,Can you tell me how many symbols are there in the 30 class?,3,"MATCH (s:Symbol) 
WHERE s.class = 30 
RETURN count(s)"
4,Count,31,3,How many symbols are there that belong to the 31 class?,0,"MATCH (s:Symbol) 
WHERE s.class = 31 
RETURN count(s)"
4,Count,32,7,How many symbols are classified under 32?,5,"MATCH (s:Symbol) 
WHERE s.class = 32 
RETURN count(s)"
5,Count,1,15,What's the count of symbols that are classified as 1?,3,"MATCH (s:Symbol) 
WHERE s.class = 1 
RETURN count(s)"
5,Count,2,6,What's the number of symbols that fall under class 2?,2,"MATCH (s:Symbol) 
WHERE s.class = 2 
RETURN count(s)"
5,Count,3,18,How many 3 symbols are there?,1,"MATCH (s:Symbol) 
WHERE s.class = 3 
RETURN count(s)"
5,Count,4,2,What is the quantity of symbols in class 4?,2,"MATCH (s:Symbol) 
WHERE s.class = 4 
RETURN count(s)"
5,Count,5,15,What's the count of symbols that are classified as 5?,1,"MATCH (s:Symbol) 
WHERE s.class = 5 
RETURN count(s)"
5,Count,6,10,How many symbols are categorized as 6?,2,"MATCH (s:Symbol) 
WHERE s.class = 6 
RETURN count(s)"
5,Count,7,8,Can you enumerate the symbols of class 7?,2,"MATCH (s:Symbol) 
WHERE s.class = 7 
RETURN count(s)"
5,Count,8,7,How many symbols are classified under 8?,2,"MATCH (s:Symbol) 
WHERE s.class = 8 
RETURN count(s)"
5,Count,9,7,How many symbols are classified under 9?,5,"MATCH (s:Symbol) 
WHERE s.class = 9 
RETURN count(s)"
5,Count,10,3,How many symbols are there that belong to the 10 class?,3,"MATCH (s:Symbol) 
WHERE s.class = 10 
RETURN count(s)"
5,Count,11,11,What is the number of symbols in 11?,3,"MATCH (s:Symbol) 
WHERE s.class = 11 
RETURN count(s)"
5,Count,12,6,What's the number of symbols that fall under class 12?,1,"MATCH (s:Symbol) 
WHERE s.class = 12 
RETURN count(s)"
5,Count,13,7,How many symbols are classified under 13?,5,"MATCH (s:Symbol) 
WHERE s.class = 13 
RETURN count(s)"
5,Count,14,16,How many symbols fall under the category of class 14?,1,"MATCH (s:Symbol) 
WHERE s.class = 14 
RETURN count(s)"
5,Count,15,11,What is the number of symbols in 15?,4,"MATCH (s:Symbol) 
WHERE s.class = 15 
RETURN count(s)"
5,Count,16,11,What is the number of symbols in 16?,3,"MATCH (s:Symbol) 
WHERE s.class = 16 
RETURN count(s)"
5,Count,17,13,What is the count of 17?,2,"MATCH (s:Symbol) 
WHERE s.class = 17 
RETURN count(s)"
5,Count,18,16,How many symbols fall under the category of class 18?,0,"MATCH (s:Symbol) 
WHERE s.class = 18 
RETURN count(s)"
5,Count,19,8,Can you enumerate the symbols of class 19?,5,"MATCH (s:Symbol) 
WHERE s.class = 19 
RETURN count(s)"
5,Count,20,19,How many symbols are there in the category of class 20?,3,"MATCH (s:Symbol) 
WHERE s.class = 20 
RETURN count(s)"
5,Count,21,2,What is the quantity of symbols in class 21?,12,"MATCH (s:Symbol) 
WHERE s.class = 21 
RETURN count(s)"
5,Count,22,15,What's the count of symbols that are classified as 22?,1,"MATCH (s:Symbol) 
WHERE s.class = 22 
RETURN count(s)"
5,Count,23,16,How many symbols fall under the category of class 23?,3,"MATCH (s:Symbol) 
WHERE s.class = 23 
RETURN count(s)"
5,Count,24,4,Could you provide the count of symbols in class 24?,2,"MATCH (s:Symbol) 
WHERE s.class = 24 
RETURN count(s)"
5,Count,25,15,What's the count of symbols that are classified as 25?,4,"MATCH (s:Symbol) 
WHERE s.class = 25 
RETURN count(s)"
5,Count,26,3,How many symbols are there that belong to the 26 class?,4,"MATCH (s:Symbol) 
WHERE s.class = 26 
RETURN count(s)"
5,Count,27,17,Can you tell me the total number of symbols in the class 27?,5,"MATCH (s:Symbol) 
WHERE s.class = 27 
RETURN count(s)"
5,Count,28,6,What's the number of symbols that fall under class 28?,2,"MATCH (s:Symbol) 
WHERE s.class = 28 
RETURN count(s)"
5,Count,29,16,How many symbols fall under the category of class 29?,3,"MATCH (s:Symbol) 
WHERE s.class = 29 
RETURN count(s)"
5,Count,30,5,Can you count the symbols that are in class 30?,3,"MATCH (s:Symbol) 
WHERE s.class = 30 
RETURN count(s)"
5,Count,31,17,Can you tell me the total number of symbols in the class 31?,2,"MATCH (s:Symbol) 
WHERE s.class = 31 
RETURN count(s)"
5,Count,32,11,What is the number of symbols in 32?,2,"MATCH (s:Symbol) 
WHERE s.class = 32 
RETURN count(s)"
6,Count,1,17,Can you tell me the total number of symbols in the class 1?,3,"MATCH (s:Symbol) 
WHERE s.class = 1 
RETURN count(s)"
6,Count,2,1,Can you tell me how many symbols are there in the 2 class?,5,"MATCH (s:Symbol) 
WHERE s.class = 2 
RETURN count(s)"
6,Count,3,13,What is the count of 3?,3,"MATCH (s:Symbol) 
WHERE s.class = 3 
RETURN count(s)"
6,Count,4,2,What is the quantity of symbols in class 4?,0,"MATCH (s:Symbol) 
WHERE s.class = 4 
RETURN count(s)"
6,Count,5,14,Can you provide the number of symbols in class 5?,4,"MATCH (s:Symbol) 
WHERE s.class = 5 
RETURN count(s)"
6,Count,6,12,How many 6?,5,"MATCH (s:Symbol) 
WHERE s.class = 6 
RETURN count(s)"
6,Count,7,7,How many symbols are classified under 7?,5,"MATCH (s:Symbol) 
WHERE s.class = 7 
RETURN count(s)"
6,Count,8,7,How many symbols are classified under 8?,5,"MATCH (s:Symbol) 
WHERE s.class = 8 
RETURN count(s)"
6,Count,9,6,What's the number of symbols that fall under class 9?,3,"MATCH (s:Symbol) 
WHERE s.class = 9 
RETURN count(s)"
6,Count,10,10,How many symbols are categorized as 10?,6,"MATCH (s:Symbol) 
WHERE s.class = 10 
RETURN count(s)"
6,Count,11,19,How many symbols are there in the category of class 11?,7,"MATCH (s:Symbol) 
WHERE s.class = 11 
RETURN count(s)"
6,Count,12,3,How many symbols are there that belong to the 12 class?,6,"MATCH (s:Symbol) 
WHERE s.class = 12 
RETURN count(s)"
6,Count,13,11,What is the number of symbols in 13?,0,"MATCH (s:Symbol) 
WHERE s.class = 13 
RETURN count(s)"
6,Count,14,19,How many symbols are there in the category of class 14?,6,"MATCH (s:Symbol) 
WHERE s.class = 14 
RETURN count(s)"
6,Count,15,12,How many 15?,2,"MATCH (s:Symbol) 
WHERE s.class = 15 
RETURN count(s)"
6,Count,16,8,Can you enumerate the symbols of class 16?,3,"MATCH (s:Symbol) 
WHERE s.class = 16 
RETURN count(s)"
6,Count,17,19,How many symbols are there in the category of class 17?,3,"MATCH (s:Symbol) 
WHERE s.class = 17 
RETURN count(s)"
6,Count,18,11,What is the number of symbols in 18?,2,"MATCH (s:Symbol) 
WHERE s.class = 18 
RETURN count(s)"
6,Count,19,11,What is the number of symbols in 19?,1,"MATCH (s:Symbol) 
WHERE s.class = 19 
RETURN count(s)"
6,Count,20,19,How many symbols are there in the category of class 20?,5,"MATCH (s:Symbol) 
WHERE s.class = 20 
RETURN count(s)"
6,Count,21,11,What is the number of symbols in 21?,8,"MATCH (s:Symbol) 
WHERE s.class = 21 
RETURN count(s)"
6,Count,22,1,Can you tell me how many symbols are there in the 22 class?,4,"MATCH (s:Symbol) 
WHERE s.class = 22 
RETURN count(s)"
6,Count,23,17,Can you tell me the total number of symbols in the class 23?,1,"MATCH (s:Symbol) 
WHERE s.class = 23 
RETURN count(s)"
6,Count,24,4,Could you provide the count of symbols in class 24?,4,"MATCH (s:Symbol) 
WHERE s.class = 24 
RETURN count(s)"
6,Count,25,13,What is the count of 25?,4,"MATCH (s:Symbol) 
WHERE s.class = 25 
RETURN count(s)"
6,Count,26,12,How many 26?,5,"MATCH (s:Symbol) 
WHERE s.class = 26 
RETURN count(s)"
6,Count,27,3,How many symbols are there that belong to the 27 class?,3,"MATCH (s:Symbol) 
WHERE s.class = 27 
RETURN count(s)"
